STUDIENR,UDDANNELSE,KURSKODE,KURSTXT,BEDOMMELSE,SKALA,ECTS,UDPROVNING,CENSUR,BEDOMMELSESDATO
STNR005794,"Menneskeorienteret kunstig intelligens, cand.polyt.",2148,02148 Introduktion til koordinering af fordelte applikationer,4,7-trinsskala,5.0,Skriftlig,intern censur,2019-02-16
STNR005794,"Softwareteknologi, ingeniør bach.",2157,02157 Funktionsprogrammering,7,7-trinsskala,5.0,Skriftlig,ekstern censur,2018-02-05
STNR005794,"Menneskeorienteret kunstig intelligens, cand.polyt.",2170,02170 Databasesystemer,12,7-trinsskala,5.0,Skriftlig,intern censur,2018-06-08
STNR005794,"Menneskeorienteret kunstig intelligens, cand.polyt.",2220,02220 Distribuerede systemer,EM,7-trinsskala,7.5,Skriftlig,intern censur,2019-06-13
STNR005794,"Menneskeorienteret kunstig intelligens, cand.polyt.",2238,02238 Biometriske systemer,10,7-trinsskala,5.0,Skriftlig,intern censur,2019-08-12
STNR005794,"Menneskeorienteret kunstig intelligens, cand.polyt.",2454,02454 Introduktion til kognitionsvidenskab,-3,7-trinsskala,5.0,Afløsningsopgave,ekstern censur,2020-01-27
STNR005794,"Menneskeorienteret kunstig intelligens, cand.polyt.",2504,02504 Computer vision,0,7-trinsskala,5.0,Afløsningsopgave,ekstern censur,2019-05-23
STNR005794,"Menneskeorienteret kunstig intelligens, cand.polyt.",2507,02507 Projektarbejde inden for billedanalyse og computergrafik,BE,bestået/ikke bestået,5.0,Afløsningsopgave,intern censur,2020-01-24
STNR005794,"Menneskeorienteret kunstig intelligens, cand.polyt.",2561,02561 Computergrafik,7,7-trinsskala,5.0,Afløsningsopgave,intern censur,2019-01-25
STNR005794,"Menneskeorienteret kunstig intelligens, cand.polyt.",2633,02633 Introduktion til programmering og databehandling,7,7-trinsskala,5.0,Skriftlig,intern censur,2018-07-10
STNR005794,"Menneskeorienteret kunstig intelligens, cand.polyt.",2635,02635 Programmering af matematisk software,EM,7-trinsskala,5.0,Skriftlig,intern censur,2020-01-01
STNR005794,"Menneskeorienteret kunstig intelligens, cand.polyt.",2806,02806 Social dataanalyse og visualisering,4,7-trinsskala,5.0,Skriftlig,intern censur,2018-06-20
STNR005794,"Menneskeorienteret kunstig intelligens, cand.polyt.",2809,02809 UX design prototypeudvikling,7,7-trinsskala,5.0,Afløsningsopgave,ekstern censur,2020-02-15
STNR005794,"Menneskeorienteret kunstig intelligens, cand.polyt.",2823,02823 Computerspilprototyper,10,7-trinsskala,5.0,Skriftlig,intern censur,2019-01-22
STNR005794,"Menneskeorienteret kunstig intelligens, cand.polyt.",2826,02826 Lyddesign gennem funktionsprogrammering,10,7-trinsskala,5.0,Afløsningsopgave,intern censur,2020-01-20
STNR005794,"Menneskeorienteret kunstig intelligens, cand.polyt.",42575,42575 Teknologi og innovationsledelse,7,7-trinsskala,5.0,Afløsningsopgave,intern censur,2020-01-13
